id,city,institution,money,dropoff_day,email,wallet_recovery,wallet_totalrecovery,male,age40,computer,coworkers,other_bystanders,security_cam,security_guard,english,understood_situation,busy,hotel,bank,cultural,public,postal,name_owner,record,o_male,o_age40,o_computer,o_coworkers,o_other_bystanders,o_employees_handle,o_security_cam,o_security_guard,o_english,o_understood_situation,o_busy,revisit_day,r_employees_handle,r_hnsty_nocontact,r_hnsty_takeaway,r_knwres,keymissing,cardmissing,notemissing,moneymissing,wcovermissing,wavialabel,rice,cis
21_056,Shanghai,Postal Office,No Money,20Aug2019,0,0,0,1,smaller than 40,1,1,0,,0,1,4,1,0,0,0,0,1,Wang Lei,0,,,,,,,1,0,,,,28Aug2019,9,6,6,0,1,1,1,,1,0,87.55,4.26
21_057,Shanghai,Postal Office,No Money,21Aug2019,0,0,0,1,smaller than 40,1,1,1,1,1,1,3,5,0,0,0,0,1,Li Qiang,0,,,,,,,1,0,,,,28Aug2019,2,2,6,0,1,1,1,,1,0,87.55,4.26
21_058,Shanghai,Postal Office,Money,21Aug2019,0,100,100,0,smaller than 40,1,1,1,1,1,0,1,5,0,0,0,0,1,Wang Lei,0,,,,,,,1,0,,,,28Aug2019,2,6,6,0,0,0,0,0,0,0,87.55,4.26
21_059,Shanghai,Postal Office,Money,21Aug2019,0,100,100,0,smaller than 40,1,1,1,1,1,0,3,3,0,0,0,0,1,Wang Lei,0,,,,,,,1,0,,,,28Aug2019,3 or more,6,6,0,0,0,0,0,0,0,87.55,4.26
21_060,Shanghai,Postal Office,No Money,23Aug2019,0,0,0,1,smaller than 40,1,1,1,,0,0,4,1,0,0,0,0,1,Wang Lei,1,1,smaller than 40,1,1,1,3 or more,1,0,0,5,3,30Aug2019,9,,,0,1,1,1,,1,0,87.55,4.26
21_061,Shanghai,Postal Office,No Money,23Aug2019,0,100,100,1,smaller than 40,1,0,1,,0,0,6,6,0,0,0,0,1,Wang Lei,1,1,smaller than 40,1,0,1,1,1,0,0,5,5,30Aug2019,1,0,0,0,0,0,0,,0,0,87.55,4.26
21_062,Shanghai,Postal Office,No Money,22Aug2019,0,100,100,1,40+,1,1,1,1,0,0,3,5,0,0,0,0,1,Chang Wei,1,1,smaller than 40,1,1,1,1,1,0,1,5,5,29Aug2019,1,,6,0,0,0,0,,0,0,87.55,4.26
21_063,Shanghai,Postal Office,No Money,23Aug2019,0,0,0,1,smaller than 40,1,1,1,1,1,1,6,1,0,0,0,0,1,Wang Lei,0,,,,,,,1,0,,,,30Aug2019,9,0,0,0,1,1,1,,1,0,87.55,4.26
21_064,Shanghai,Postal Office,No Money,23Aug2019,0,100,100,0,40+,1,1,0,,0,0,5,5,0,0,0,0,1,Wang Lei,0,,,,,,,1,0,,,,30Aug2019,3 or more,0,6,0,0,0,0,,0,0,87.55,4.26
21_065,Shanghai,Postal Office,No Money,23Aug2019,0,0,0,0,smaller than 40,1,0,1,,0,1,6,5,0,0,0,0,1,Li Qiang,0,,,,,,,1,0,,,,30Aug2019,9,6,6,0,1,1,1,,1,0,87.55,4.26
21_066,Shanghai,Postal Office,No Money,23Aug2019,0,0,0,1,smaller than 40,0,1,1,,,0,4,2,0,0,0,0,1,Wang Lei,1,1,smaller than 40,0,0,1,2,1,0,0,5,0,30Aug2019,1,3,6,0,1,1,1,,1,0,87.55,4.26
29_001,Xi'an,Cultural Attractions,Money,30Aug2019,0,0,0,1,smaller than 40,1,1,1,1,0,1,6,4,0,0,1,0,0,Li Qiang,0,,,,,,,0,0,,,,06Sep2019,9,0,6,0,1,1,1,1,1,0,5.19,4.04
29_002,Xi'an,Cultural Attractions,No Money,03Sep2019,0,100,100,1,smaller than 40,1,1,0,1,0,1,5,1,0,0,1,0,0,Wang Lei,1,1,smaller than 40,1,1,0,3 or more,1,0,,5,2,10Sep2019,3 or more,5,6,0,0,0,0,,0,0,5.19,4.04
29_003,Xi'an,Cultural Attractions,No Money,30Aug2019,0,100,100,0,smaller than 40,1,1,0,0,1,1,6,0,0,0,1,0,0,Li Qiang,1,0,40+,0,1,1,2,1,0,,4,3,06Sep2019,2,6,6,0,0,0,0,,0,0,5.19,4.04
29_004,Xi'an,Bank,No Money,30Aug2019,0,100,100,0,smaller than 40,0,0,1,1,1,1,5,1,0,1,0,0,0,Li Qiang,1,0,smaller than 40,0,0,1,1,1,0,,6,2,06Sep2019,2,,,,0,0,0,,0,0,5.19,4.04
29_005,Xi'an,Postal Office,Money,30Aug2019,0,100,100,0,smaller than 40,0,1,1,1,0,0,0,1,0,0,0,0,1,Chang Wei,0,,,,,,,1,0,,,,06Sep2019,1,3,6,0,0,0,0,0,0,0,5.19,4.04
29_006,Xi'an,Bank,Money,30Aug2019,0,0,0,1,smaller than 40,0,1,1,1,0,0,4,0,0,1,0,0,0,Chang Wei,0,,,,,,,1,0,,,,06Sep2019,,,,,1,1,1,1,1,1,5.19,4.04
29_007,Xi'an,Bank,Money,30Aug2019,100,100,100,0,smaller than 40,1,1,1,1,0,0,4,1,0,1,0,0,0,Wang Lei,0,,,,,,,1,0,,,,06Sep2019,3 or more,4,5,0,0,0,0,0,0,0,5.19,4.04
29_008,Xi'an,Hotel,No Money,30Aug2019,0,100,100,0,40+,1,1,1,1,0,0,2,0,1,0,0,0,0,Li Qiang,1,0,40+,,1,1,3 or more,1,0,0,6,1,06Sep2019,1,3,6,0,0,0,0,,0,0,5.19,4.04
29_009,Xi'an,Hotel,No Money,30Aug2019,100,100,100,0,smaller than 40,1,1,1,1,0,0,5,0,1,0,0,0,0,Chang Wei,1,0,smaller than 40,1,1,0,3 or more,1,0,0,6,1,06Sep2019,3 or more,6,6,0,0,0,0,,0,0,5.19,4.04
29_010,Xi'an,Bank,No Money,30Aug2019,100,100,100,0,smaller than 40,0,1,1,1,0,1,5,0,0,1,0,0,0,Chang Wei,1,0,smaller than 40,0,1,1,2,1,0,0,6,0,06Sep2019,3 or more,3,6,0,0,0,0,,0,0,5.19,4.04
29_011,Xi'an,Public Place,Money,30Aug2019,0,100,100,1,smaller than 40,0,1,1,1,1,0,6,0,0,0,0,1,0,Li Qiang,0,,,,,,,1,0,,,,06Sep2019,1,5,5,0,0,0,0,0,0,0,5.19,4.04
29_012,Xi'an,Public Place,Money,30Aug2019,100,0,0,0,smaller than 40,1,1,1,1,0,0,4,2,0,0,0,1,0,Chang Wei,0,,,,,,,1,0,,,,06Sep2019,9,0,3,0,1,1,1,1,1,0,5.19,4.04
29_013,Xi'an,Public Place,No Money,30Aug2019,0,0,0,1,40+,0,1,1,1,1,0,3,3,0,0,0,1,0,Chang Wei,1,1,40+,0,1,1,2,1,0,0,3,1,06Sep2019,3 or more,3,6,0,1,1,1,,1,1,5.19,4.04
29_014,Xi'an,Public Place,No Money,03Sep2019,100,100,100,0,smaller than 40,1,1,1,1,0,0,3,0,0,0,0,1,0,Li Qiang,1,0,smaller than 40,1,1,1,3 or more,1,0,0,5,0,10Sep2019,1,1,6,0,0,0,0,,0,0,5.19,4.04
29_015,Xi'an,Postal Office,Money,03Sep2019,100,0,0,1,smaller than 40,1,0,0,1,0,0,5,0,0,0,0,0,1,Li Qiang,0,,,,,,,1,0,,,,17Sep2019,,,,,1,1,1,1,1,1,5.19,4.04
29_016,Xi'an,Cultural Attractions,No Money,03Sep2019,0,100,100,1,smaller than 40,1,1,0,1,0,0,6,2,0,0,1,0,0,Wang Lei,1,1,smaller than 40,1,1,0,2,1,0,0,5,0,10Sep2019,2,3,6,0,0,0,0,,0,0,5.19,4.04
29_017,Xi'an,Public Place,No Money,03Sep2019,100,100,100,0,smaller than 40,1,1,0,1,0,0,4,0,0,0,0,1,0,Wang Lei,1,0,smaller than 40,1,1,0,9,0,0,0,6,0,10Sep2019,1,2,6,0,0,0,0,,0,0,5.19,4.04
29_018,Xi'an,Public Place,No Money,03Sep2019,0,0,0,0,smaller than 40,0,1,1,1,0,0,3,0,0,0,0,1,0,Li Qiang,1,0,smaller than 40,0,0,0,1,1,0,0,6,0,10Sep2019,9,6,6,0,1,1,1,,1,0,5.19,4.04
29_019,Xi'an,Cultural Attractions,Money,03Sep2019,0,100,100,0,smaller than 40,0,1,1,1,0,1,3,0,0,0,1,0,0,Chang Wei,0,,,,,,,1,0,,,,10Sep2019,2,,6,0,0,0,0,0,0,0,5.19,4.04
29_020,Xi'an,Hotel,No Money,03Sep2019,0,0,0,1,smaller than 40,1,0,0,1,0,0,4,0,1,0,0,0,0,Wang Lei,1,1,smaller than 40,1,0,0,1,1,0,0,6,2,10Sep2019,9,0,6,0,1,1,1,,1,0,5.19,4.04
29_021,Xi'an,Cultural Attractions,No Money,03Sep2019,0,100,100,0,smaller than 40,1,0,0,1,0,0,4,0,0,0,1,0,0,Wang Lei,1,0,smaller than 40,1,0,0,1,1,0,1,6,0,10Sep2019,9,6,6,0,0,0,0,,0,0,5.19,4.04
29_022,Xi'an,Cultural Attractions,Money,03Sep2019,100,100,100,0,smaller than 40,0,1,1,1,0,1,5,2,0,0,1,0,0,Wang Lei,0,,,,,,,1,0,,,,10Sep2019,3 or more,3,5,0,0,0,0,0,0,0,5.19,4.04
29_023,Xi'an,Postal Office,Money,30Aug2019,100,100,100,0,smaller than 40,1,1,1,1,0,0,5,3,0,0,0,0,1,Li Qiang,0,,,,,,,1,0,,,,06Sep2019,1,,6,0,0,0,0,0,0,0,5.19,4.04
29_024,Xi'an,Bank,Money,30Aug2019,0,100,0,1,smaller than 40,,0,1,1,0,0,6,0,0,1,0,0,0,Wang Lei,0,,,,,,,1,0,,,,06Sep2019,9,,6,0,0,1,0,1,0,0,5.19,4.04
